Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,"11,86,00,000",Korean,Show
Vikings: Valhalla: Season 1,Yes,2022-02-25,"11,65,00,000",English,Show
Breaking Bad: Season 2,No,nan,"11,62,00,000",English,Show
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,"11,58,00,000",English,Movie
Lockwood & Co.: Season 1,Yes,2023-01-27,"11,36,00,000",English,Show
You: Season 3,Yes,2021-10-15,"10,72,00,000",English,Show
Breaking Bad: Season 5,No,nan,"10,70,00,000",English,Show
Suits (2011): Season 2,Yes,nan,"10,66,00,000",English,Show
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,"10,46,00,000",English,Show
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,2023-04-21,"10,45,00,000",Non-English,Show
Breaking Bad: Season 3,No,nan,"10,43,00,000",English,Show
Lucifer: Season 3,No,2017-10-03,"10,28,00,000",English,Show
CoComelon: Season 2,No,2020-12-17,"10,23,00,000",English,Show
Café con aroma de mujer: Season 1,No,2021-12-29,"10,17,00,000",Non-English,Show
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,"9,99,00,000",Korean,Show
The Blacklist: Season 1,No,nan,"9,99,00,000",English,Show
Shadow and Bone: Season 1,Yes,2021-04-23,"9,95,00,000",English,Show
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,"9,90,00,000",English,Show
Designated Survivor: Season 1,Yes,2016-09-22,"9,85,00,000",English,Show
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,"9,78,00,000",Korean,Movie
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,"9,76,00,000",Non-English,Show
Minions: The Rise of Gru,No,nan,"9,64,00,000",English,Movie
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,nan,"9,58,00,000",Japanese,Movie
The Blacklist: Season 9,No,nan,"9,57,00,000",English,Show
That '90s Show: Part 1,Yes,2023-01-19,"9,51,00,000",English,Movie
You: Season 2,Yes,2019-12-26,"9,50,00,000",English,Show
La Reina del Sur: Season 1,No,2011-09-05,"9,47,00,000",English,Show
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,"9,46,00,000",Korean,Show
New Amsterdam (2018): Season 2,No,nan,"9,44,00,000",English,Show
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,2023-05-12,"9,43,00,000",Korean,Show
Breaking Bad: Season 4,No,nan,"9,43,00,000",English,Show
Obsession: Limited Series,Yes,2023-04-13,"9,42,00,000",English,Movie
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,2023-03-24,"9,29,00,000",Non-English,Movie
La Reina del Sur: Season 2,No,2019-08-16,"9,25,00,000",English,Show
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,"9,23,00,000",Non-English,Movie
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10,"9,22,00,000",Japanese,Show
CoComelon: Season 3,No,2021-05-31,"9,14,00,000",English,Show
Firefly Lane: Season 1,Yes,2021-02-03,"9,12,00,000",English,Show
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27,"9,08,00,000",Non-English,Movie
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,"9,02,00,000",English,Show
Sweet Tooth: Season 1,Yes,2021-06-04,"8,90,00,000",English,Show
S.W.A.T. (2017): Season 1,No,nan,"8,86,00,000",English,Show
Murder Mystery,Yes,2019-06-14,"8,79,00,000",English,Movie
True Beauty // 여신강림,No,nan,"8,73,00,000",Korean,Movie
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,"8,72,00,000",Korean,Show
Little Angel: Volume 2,Yes,nan,"8,62,00,000",English,Movie
Manifest: Season 2,No,2021-06-10,"8,62,00,000",English,Show
Extraction,Yes,2020-04-24,"8,61,00,000",English,Movie
Lucifer: Season 2,No,2017-08-31,"8,61,00,000",English,Show
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31,"8,60,00,000",Non-English,Movie
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,"8,54,00,000",English,Show
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15,"8,50,00,000",Non-English,Show
Florida Man: Limited Series,Yes,2023-04-13,"8,46,00,000",English,Movie
